ai_score,sector,acronym,name,umr_label,type,city,parent_company,tutelles,domain,year_created,website
30,public,DEFROST,Logiciels pour robots déformables,,Unité propre,Villeneuve d'Ascq,,"CLI,CNRS,INRIA,LILLE",Sciences et technologies de l'information et de la communication,2015,http://www.inria.fr/equipes/defrost
30,public,MEMIAD,"Management, Economie, Modélisation, Informatique et Aide à la Décision insulaire",UR 7_3,Unité propre,SCHOELCHER CEDEX,,ANTILLES,"Mathématiques et leurs interactions,Sciences humaines et humanités,Sciences de l",1998,
30,public,AIRSEA,Mathématiques et calcul scientifique appliqués aux écoulements océaniques et atmosphériques,,Unité propre,Saint Martin d'Hères,,"CNRS,INRIA,GRENOBLE ALPES",Sciences et technologies de l'information et de la communication,2015,http://www.inria.fr/equipes/airsea
30,public,COMMEDIA,Mathématiques et calcul scientifique pour les applications bio-médicales,,Unité propre,Paris,,"CNRS,INRIA,SORBONNE UNIV.",Sciences et technologies de l'information et de la communication,2019,http://www.inria.fr/equipes/commedia
30,public,MARACAS,Modèle et algorithmes pour des systèmes de communication fiables,,Unité propre,,,"INSA LYON,INRIA",Sciences et technologies de l'information et de la communication,2018,
30,public,MAVERICK,Modèles et Algorithmes pour la Visualisation et le Rendu,,Unité propre,Montbonnot St Martin,,"CNRS,INRIA,GRENOBLE ALPES",Sciences et technologies de l'information et de la communication,2012,http://www.inria.fr/equipes/maverick
30,public,MARIANNE,Modèles et données pour l'argumentation computationnelle en langage naturel,,Unité propre,Sophia Antipolis,,"CNRS,INRIA,UniCA",Sciences et technologies de l'information et de la communication,2025,https://www.inria.fr/fr/marianne
30,public,CARMEN,Modélisation et calculs pour l'électrophysiologie cardiaque,,Unité propre,Talence Cedex,,"INRIA,BORDEAUX",Sciences et technologies de l'information et de la communication,2011,http://www.inria.fr/equipes/carmen
30,public,ATLANTIS,Modélisation et méthodes numériques pour le calcul d'interactions onde-matière nanostructurée,,Unité propre,Valbonne,,"CNRS,INRIA,UniCA",Sciences et technologies de l'information et de la communication,2020,
30,public,MORPHEME,Morphologie et Images,,Unité propre,Sophia Antipolis,,"CNRS,INRIA,UniCA",Sciences et technologies de l'information et de la communication,2011,http://www.inria.fr/equipes/morpheme
30,public,DATAMOVE,Mouvements de données pour le calcul haute performance,,Unité propre,,,"CNRS,INRIA,GRENOBLE ALPES",Sciences et technologies de l'information et de la communication,2016,
30,public,INBIO,Méthodes expérimentales et numériques pour la modélisation des processus cellulaires,,Unité propre,Paris,,"INRIA,INSTITUT PASTEUR",Sciences et technologies de l'information et de la communication,2019,http://www.inria.fr/equipes/inbio
30,public,TROPICAL,"Méthodes tropicales: structures, algorithmes et interactions",,Unité propre,Palaiseau,,INRIA,Sciences et technologies de l'information et de la communication,2016,http://www.inria.fr/equipes/tropical
30,public,OPIS,OPtimisation Imagerie et Santé,,Unité propre,,,"INRIA,CENTRALESUPELEC",Sciences et technologies de l'information et de la communication,2019,
30,public,BONUS,Optimisation de grande taille et calcul large échelle,,Unité propre,,,"INRIA,LILLE",Sciences et technologies de l'information et de la communication,2017,
30,public,INOCS,Optimisation intégrée pour problèmes à structure complexe,,Unité propre,,,"CLI,INRIA",Sciences et technologies de l'information et de la communication,2015,
30,public,RANDOPT,Optimisation par algorithmes stochastiques,,Unité propre,Palaiseau,,INRIA,Sciences et technologies de l'information et de la communication,2016,http://www.inria.fr/equipes/randopt
30,public,STORM,"Optimisation statique, méthodes d’exécution",,Unité propre,Talence Cedex,,"CNRS,INRIA,Bordeaux INP,BORDEAUX",Sciences et technologies de l'information et de la communication,2015,http://www.inria.fr/equipes/storm
