Organization Name,Organization Location,Funding Type,Money Raised,Money Raised Currency,Announced Date,Organization Website,Organization Description,Investor Names,Organization Industries,SIREN
Heex Technologies,"Paris, Ile-de-France, France, Europe",Pre-Seed,1200000,EUR,2021-03-31,https://heex.io,Smart Data for AI development.,"Alexei Chemenda, Axel Toupane, Bpifrance, Eliott Kessas, Etienne Wey, Techstars, Tomcat, Transvalor, WILCO, William Riggs, Yves Dzialowski","Artificial Intelligence (AI), Autonomous Vehicles, Data Collection and Labeling, Data Management, Generative AI, Machine Learning, Robotics, Software",
Klara,"Paris, Ile-de-France, France, Europe",Seed,1200000,EUR,2021-10-01,https://www.klarahr.com/,Klara develops a solution that is both helpful and tailored to each employee.,SIDE Capital,"E-Learning, Employee Benefits, Training",
Cook-e,"Paris, Ile-de-France, France, Europe",Pre-Seed,1150000,EUR,2021-09-01,https://www.cook-e.com,Robotic is a technology company that develops professional robotic catering equipment and software for restaurants.,"Antoine Martin, Karot Capital, Serge Alleyne, Yan Hascoët","Food and Beverage, Robotics, Software",
Lyanne,"Paris, Ile-de-France, France, Europe",Seed,1200000,EUR,2021-11-30,https://www.lyanne.fr/,Lyanne is an insurance management platform that simplifies the management of claims and helps assert rights.,"50 Partners, Benjamin Gaignault, Business angels, Firstminute Capital, Nicolas Chartier, Thierry Petit","Customer Service, Employee Benefits, Insurance",
Feels,"Paris, Ile-de-France, France, Europe",Pre-Seed,1100000,EUR,2021-05-16,https://www.feels-app.com,Feels is a social discovery network that allows users to find and meet new people.,,"Content Creators, Dating, Mobile Apps, Social Media, Social Network",
Gaoma Therapeutics,"Les Auvergnes, Rhone-Alpes, France, Europe",Seed,1100000,EUR,2021-04-14,https://www.gaoma-tx.com/,Gaoma Therapeutics is a biotechnology company that develops therapeutic molecules for neurological and inflammatory diseases.,"Angels Santé, Health Angels Rhône-Alpes, PPRS Venture, Simba Santé","Biotechnology, Neuroscience",
Welyb,"Bordeaux, Aquitaine, France, Europe",Seed,1100000,EUR,2021-03-09,https://www.welyb.fr,Welyb is a SaaS startup platform.,SIDE Capital,"Finance, SaaS, Software",
Lemon,"Nanterre, Ile-de-France, France, Europe",Pre-Seed,1300000,USD,2021-04-01,https://lemon.fm,Lemon is a paid live video platform.,,"Internet, Payments, Video Conferencing",
Lemon,"Nanterre, Ile-de-France, France, Europe",Pre-Seed,1300000,USD,2021-04-01,https://lemon.fm,Lemon is a paid live video platform.,,"Internet, Payments, Video Conferencing",
Airthium,"Les-loges-en-josas, Ile-de-France, France, Europe",Seed,1272000,USD,2021-05-01,https://www.airthium.com,"Airthium guarantee the availability of solar and wind energy, all year long, making seasonal storage a reality.",,"Energy, Energy Management, Energy Storage, Renewable Energy",
Vesto,"Paris, Ile-de-France, France, Europe",Seed,1100000,EUR,2021-12-02,https://vesto.fr,Vesto has set up an industrial area specifically for the repurposing of equipment used by restaurateurs.,"Cameleon Invest, Dominique Laugier, Makesense Seed I, Région Ile-de-France","Catering, Restaurants",
PlanetWatch,"Saint-genis-pouilly, Rhone-Alpes, France, Europe",Seed,1048100,EUR,2021-07-22,https://www.planetwatch.io,Decentralizing and incentivizing environmental monitoring,,"Big Data, Blockchain, Environmental Consulting, Internet of Things",
Pickme,"Paris, Ile-de-France, France, Europe",Pre-Seed,1000000,EUR,2021-06-02,https://www.mypickme.com/,"Pickme do magic by turning neighbors into local and social pickup point, for a seamless, efficient and sustainable post-purchase experience","AA Sons, Founders Future","Delivery, Delivery Service, E-Commerce, Internet, Logistics, Mobile Apps, Transportation",
SeaBeLife,"Roscoff, Bretagne, France, Europe",Seed,1000000,EUR,2021-05-28,https://www.seabelife.com/,SeaBeLife is a biotechnology company that develops a range of drug candidates.,Ava capital,"Biotechnology, Health Care, Medical",
HD Rain,"Paris, Ile-de-France, France, Europe",Seed,1000000,EUR,2021-01-21,https://hd-rain.com/,"HD Rain measures, analyzes, and forecasts weather.","Kima Ventures, Newfund","Data Collection and Labeling, Data Visualization, Environmental Consulting",
Soan,"Paris, Ile-de-France, France, Europe",Seed,1000000,EUR,2021-01-01,https://www.soansolutions.com,Soan is an online payment solution and a free suite of tools that serve the success of freelance projects.,Aonia Ventures,Financial Services,
On train,"Paris, Ile-de-France, France, Europe",Seed,1000000,EUR,2021-05-15,https://on-train.com/,On train is a B2B educational platform providing vocational training courses to companies looking to have their employees expand horizons.,Bpifrance,"B2B, Education, Training",
Trustt,"Paris, Ile-de-France, France, Europe",Seed,1000000,EUR,2021-02-26,https://www.trustt.io/,Trustt is a SaaS solution that guarantees product success with proprietary communities.,Tomcat Invest,"Real Estate, SaaS, Software",
GoMyPartner,"Lille, Nord-Pas-de-Calais, France, Europe",Pre-Seed,1000000,EUR,2021-02-01,https://www.gomypartner.com,"GoMyPartner, finance sports activity through your daily purchases. Benefit from many good plans allowing to save money.",Bpifrance,"Recreation, Retail, Shopping, Sports",
Mapatho,"Paris, Ile-de-France, France, Europe",Seed,1000000,EUR,2021-05-03,https://www.mapatho.com/,Mapatho developed an online medical directory and search platform designed to allow patients to find free medical and pathology experts.,Angels Santé,"Fitness, Health Care, Wellness",
Upfeel,"Paris, Ile-de-France, France, Europe",Seed,1000000,EUR,2021-03-01,https://www.upfeel.com,Upfeel is the first Team Coaching Program,,,
