Startup,Website,Round,SIREN,Money Raised Euros,Date,Description,City,Investor Names,Assigned Sectors
Chango,https://www.changomarket.fr,Seed,,1982021.43,2023-03-14,,Paris,"321, Via ID","Energy, Mobility, E-commerce & Retail"
Cognitive Design Systems,https://www.cognitive-design-systems.com/,Seed,,1979185.14,2023-11-08,,Toulouse,"DAA Ventures, Iron Hands Capital, SpaceFounders","Artificial Intelligence, BioTech"
Hubflo,https://hubflo.com/,Seed,,1978420.18,2023-09-08,,Paris,"Charlie Songhurst, Hummingbird Ventures, Kima Ventures, Michael Pennington, Nicolas Reboud, Seedcamp",Other
kheoos,https://kheoos.com,Seed,,1978420.18,2023-09-08,,"Moirans, Rhone-Alpes, France, Europe","Industrya, Iron Hands Capital",Artificial Intelligence
Wheel of Work,https://www.wheelofwork.com,Seed,,1978420.18,2023-09-08,,Lille,"Banque Populaire du Nord, Crédit Industriel et Commercial, Re-sources Capital",Other
Flagcat,https://flagcat.studio/,Seed,,1976762.75,2023-09-07,,Paris,"Kima Ventures, Motier Ventures, Purple, Resonance, Seedcamp",Other
SorareData,https://www.soraredata.com,Seed,,1976762.75,2023-09-07,,Paris,"Fabric Ventures, Seedcamp, Sfermion",Gaming
BrightHeart,https://www.brightheart.fr,Seed,,1976092.94,2023-05-31,,Paris,Sofinnova Partners,"Artificial Intelligence, HealthTech, MedTech"
CloudFret,https://cloudfret.com/,Seed,,1975336.29,2023-11-12,,Marseille,"Afri Mobility, Azur Innovation Fund, Azur Innovation Management",Mobility
Centiloc,http://www.centiloc.com,Seed,,1971261.09,2023-03-01,,"Meyreuil, Provence-Alpes-Cote d'Azur, France, Europe",,Other
58 Facettes,https://58facettes.fr/,Seed,,1970403.73,2023-09-22,,Paris,"Diagonale Capital, Emilie Mellerio, Georges Amer, Jeremy Blackwell, NEO FOUNDERS, Stanislas De Quercize, Super Capital VC, Vanessa Daurian Proust",E-commerce & Retail
Defants,https://www.defants.com/,Seed,,1961128.05,2023-03-16,,Rennes,"Auriga Cyber Ventures, Breizh Up",Cybersecurity
Palm,https://palm-app.ai/,Seed,,1961128.05,2023-03-16,,Paris,"212 Founders, Bpifrance, CDG Invest, Kima Ventures, STATION F","Artificial Intelligence, Energy"
Tailwarden,https://tailwarden.com,Seed,,1961128.05,2023-03-16,,Paris,"Bertrand Diard, Eurazeo, Julien Lemoine, Kima Ventures, La Famiglia, Sebastien Pahl",Artificial Intelligence
Unikbase,https://unikbase.com,Seed,,1959608.28,2023-02-22,,Paris,Weber Investissement,Artificial Intelligence
AquaTech Innovation,http://www.aquatech-innovation.com,Seed,,1959225.79,2023-10-10,,Montpellier,"Calao Finance, Sofilaro, Sud Mer Invest",CleanTech
My Lovely Planet,http://mylovelyplanet.org,Seed,,1956120.66,2023-10-19,,"Mont-de-laval, Franche-Comte, France, Europe",Phelen,"Artificial Intelligence, Energy, Web3, Gaming"
Fractal Energy,https://fractalenergy.io/,Seed,,1952910.2,2023-09-26,,"Tours, Centre, France, Europe","Bpifrance, Vertigo","CleanTech, ClimateTech, Energy, Mobility"
Mangas.io,https://www.mangas.io,Seed,,1910294.72,2023-12-13,,Paris,"3A Venture, Polymatter Ventures, Society of Entertainment, Source Ventures, Super Capital VC",Other
Jimini AI,https://jimini.ai/,Seed,,1878463.6,2023-11-13,,Paris,"Antoine Fabre, Better Angle, Evolem Start, Galion.exe, J12, Polytechnique Ventures, ZEBOX Ventures","Artificial Intelligence, LegalTech"
