Startup,Website,Round,SIREN,Money Raised Euros,Date,Description,City,Investor Names,Assigned Sectors
Moon Surgical,https://www.moonsurgical.com,Series B,,51182557.28,2023-05-17,,Paris,"Cathay Capital, Fred Moll, M.D, GT Healthcare Capital Partners, Johnson & Johnson Robotics and Digital Solutions, Josh Makower, MD Start, NVentures, Richard Leparmentier, Sacha Loiseau, Siddarth Satish, Sofinnova Partners, Yann Fleureau","HealthTech, MedTech, Robotics"
Quandela,http://quandela.com/,Series B,,49411731.34,2023-11-07,,"Massy, Ile-de-France, France, Europe","Bpifrance, Crédit Mutuel Innovation, European Innovation Council, France 2030, Omnes Capital, Quantonation, Serena","BioTech, DeepTech"
Blank,https://www.blank.app,Series B,,47575353.84,2023-06-16,,Paris,Crédit Agricole,"FinTech, Mobility"
Lithium de france,https://www.lithiumdefrance.earth/,Series B,,43604478.94,2023-03-14,,"Bischwiller, Alsace, France, Europe",Equinor Ventures,Other
Pitchy,https://www.pitchy.io,Series B,,39395379.71,2023-09-21,,Paris,"Entrepreneur Invest, Isatis Capital, Seventure Partners","SaaS, Entertainment"
CarThera,http://carthera.eu/,Series B,,37962677.38,2023-06-27,,Paris,"European Innovation Council, Panakes Partners, Relyens, Supernova Invest","Artificial Intelligence, HealthTech, MedTech, Mobility, Hardware"
Swan,https://swan.io,Series B,,36688773.1,2023-09-13,,Paris,"Accel, Bpifrance, Creandum, Lakestar",FinTech
Volta Medical,https://www.volta-medical.com/,Series B,,34989661.86,2023-01-05,,Marseille,"Gilde Healthcare, Lightstone Ventures, Vensana Capital","Artificial Intelligence, HealthTech, MedTech, Mobility"
SESAMm,https://www.sesamm.com/,Series B,,34497067.63,2023-03-01,,Paris,"AFG Partners, CEGEE Capital, Elaia, Elevator Ventures, NewAlpha Asset Management VC, Opera Tech Ventures, The Carlyle Group, Unigestion","Artificial Intelligence, FinTech"
Hivebrite,https://hivebrite.io,Series B,,34074545.45,2023-10-18,,Paris,"Edward Filippi, Insight Partners, Quadrille Capital","Energy, SaaS"
Egerie,https://www.egerie-software.com,Series B,,30131661.12,2023-01-23,,Paris,"Banque des Territoires, Open CNP, Tikehau Capital, TIN Capital",Cybersecurity
Upway,https://upway.fr,Series B,,27674464.15,2023-11-16,,"Gennevilliers, Ile-de-France, France, Europe","EXOR N.V., Korelya Capital, Sequoia Capital, SignalRank, Transition, Wind","Artificial Intelligence, Energy, Mobility"
Brigad,https://www.brigad.co/,Series B,,27657759.61,2023-02-15,,Paris,"Balderton Capital, Serena, Square Capital, Wendel",Other
Eligo Bioscience,https://eligo.bio/,Series B,,27624437.36,2023-12-05,,Paris,"Bpifrance, Khosla Ventures, Sanofi Ventures, Seventure Partners",Hardware
Gleamer,http://www.gleamer.ai/,Series B,,27227632.11,2023-06-28,,Paris,"Bpifrance, Crista Galli Ventures, Elaia, Heal Capital, MACSF, Supernova Invest, UI Investissement, XAnge","Artificial Intelligence, HealthTech, MedTech"
Campings,campings.com,Series B,508290947,27000000,2023-01-27,,Paris,,TravelTech
ZEWAY,https://www.zeway.com/,Series B,,25746812.64,2023-03-20,,Paris,"ADEME Investissement, Allianz France, Banque des Territoires, Demeter, Matmut Innovation, NCI","Energy, Mobility"
Adionics,http://www.adionics.com/en,Series B,,25346250.92,2023-11-29,,"Thiais, Ile-de-France, France, Europe","Bpifrance, Celeste Management, Ovive, Sociedad Quimica Y Minera (SQM), Supernova Invest",Other
Antabio,https://antabio.com,Series B,,24941091.09,2023-12-12,,"Labège, Midi-Pyrenees, France, Europe","AMR Action Fund, BNP Paribas Développement, Christophe Ricard, European Innovation Council, IRDI SORIDEC Gestion, Turenne Capital","HealthTech, MedTech"
Akur8,http://www.akur8.com,Series B,,23498977.27,2023-07-01,,Paris,"BlackFin Capital Partners, FinTLV Ventures, Guidewire Software","Artificial Intelligence, Energy, InsurTech"
Worldia,https://www.worldia.com,Series B,,23096821.88,2023-05-11,,Paris,"Banque des Territoires, CapHorn Invest, Crédit Mutuel Innovation, Frenchfounders, Raise Ventures, Red River West",TravelTech
Microoled,http://www.microoled.net/,Series B,,21614167.59,2023-07-12,,Grenoble,"Bpifrance, Cipio Partners, Jolt Capital, Ventech",Hardware
Wethenew,https://wethenew.com,Series B,,20293658.54,2023-05-10,,Paris,"Antoine Griezmann, Athletico Ventures, C4 Ventures, Chalhoub Group, Singular",E-commerce & Retail
45-8 ENERGY,http://www.458energy.com/,Series B,,20247271.8,2023-04-04,,"Metz, Lorraine, France, Europe",Heling,Energy
GreenWaves Technologies,http://greenwaves-technologies.com/,Series B,,20149019.77,2023-02-02,,Grenoble,"Definvest, Innovacom, La French Tech, Soitec, Thales Group, Zepp","CleanTech, Energy"
AlgoTherapeutix,https://algotx.com,Series B,,19820218.03,2023-03-14,,"Suresnes, Ile-de-France, France, Europe","Bpifrance, InnoBio Fund, Omnes Capital, Turenne Capital, UI Investissement","Artificial Intelligence, BioTech, Hardware"
Ringover,https://www.ringover.com,Series B,,19783907.98,2023-06-07,,Paris,"Bpifrance, Expedition Growth Capital, Orange Ventures",Artificial Intelligence
inmemori,https://www.inmemori.com,Series B,,19746020.88,2023-03-06,,Paris,"Allianz, Eurazeo, Swen Capital Partners",Other
OceanWings,https://oceanwings.com,Series B,,18747935.14,2023-09-26,,Paris,"AmInvest, Blue Oceans Partners, Bpifrance, Colam Impact, Normandie Littoral, Normandie Participations, Ocean Zero, Swen Capital Partners","CleanTech, ClimateTech, Mobility"
Wakeo,http://wakeo.co,Series B,,18022489.84,2023-12-04,,Paris,"360 Capital, 50 Partners, Promus Ventures, Statkraft Ventures, Techstars","Mobility, SaaS"
Expliseat,http://www.expliseat.com/,Series B,,17242129.53,2023-04-25,,Paris,"BNP Paribas Développement, Bpifrance, GO CAPITAL, NCI",Artificial Intelligence
GarantMe,https://garantme.fr/,Series B,,15050825.94,2023-01-31,,Paris,"115K, Axeleo, Bonsai Partners, Bpifrance, NewAlpha Asset Management VC",PropTech
Tribun Health,https://www.tribun.health,Series B,,14862325.39,2023-09-05,,"Châtillon, Ile-de-France, France, Europe","Bpifrance, LBO France, Vivalto Partners, Waiv",HealthTech
Ganymed Robotics,https://www.ganymedrobotics.com/,Series B,,14698385.07,2023-01-04,,Paris,"CapHorn Invest, European Innovation Council","MedTech, Robotics"
Craft AI,http://craft.ai,Series B,,13485726.16,2023-07-18,,Paris,"Bpifrance, Talis",Artificial Intelligence
Spareka,https://www.spareka.fr/,Series B,,10860311.35,2023-03-06,,Montreuil,"Banque des Territoires, Caisse des Dépôts et Consignations, Demeter",Other
Uzaje,http://uzaje.com,Series B,,10840547.86,2023-11-09,,"Neuilly-sur-marne, Ile-de-France, France, Europe","A Plus Finance, Banque des Territoires, Good Only Ventures, Impactivist, La Rochelle Zero Carbon Territory",FoodTech
Edflex,https://www.edflex.com/,Series B,,9073292.68,2023-05-11,,Paris,"Arkea Capital Investissement, Educapital, Jean Stephane Arcis, MAIF Avenir, Wille Finance","Artificial Intelligence, SaaS, Entertainment"
La Fourche,https://lafourche.fr/,Series B,,8638211.38,2023-10-18,,"La Courneuve, Ile-de-France, France, Europe","Anterra Capital, Eight Roads Ventures, Five Seasons Ventures, Founders Future, Heartcore Capital",Other
Matera,https://www.matera.eu/,Series B,,7057467.66,2023-07-03,,Paris,"Bpifrance, Index Ventures, Mubadala Capital Ventures",Other
CarThera,http://carthera.eu/,Series B,,4475622.69,2023-12-11,,Paris,"BOUSCAS, Saint-Genys, Supernova Invest, Unorthodox Ventures","Artificial Intelligence, HealthTech, MedTech, Mobility, Hardware"
Assurly,https://www.assurly.com/,Series B,,3942522.17,2023-03-01,,Paris,,InsurTech
Choose,http://www.appchoose.io/,Series B,,,2023-06-01,,Paris,OneRagtime,"Artificial Intelligence, E-commerce & Retail"
Innovorder,https://www.innovorder.com/,Series B,,,2023-08-23,,Paris,FJ Labs,FoodTech
Neolithe,https://neolithe.fr,Series B,,59680681.82,2023-12-06,,"Chalonnes-sur-loire, Pays de la Loire, France, Europe","Crédit Mutuel Impact, Otium Capital, RGreen Invest, Tivoli Capital, Wind",Other
Aura Aero,https://www.aura-aero.com,Series B,,30378009.98,2023-12-31,,"Cugnaux, Midi-Pyrenees, France, Europe",,"Artificial Intelligence, CleanTech, ClimateTech, Mobility"
Colonies,https://www.livecolonies.com/,Series B,824567721,29840340.91,2023-12-06,,Paris,"Allianz, Crédit Mutuel Impact, Eurazeo",PropTech
Ascendance,https://www.ascendance-ft.com,Series B,,21028813.75,2023-03-28,,Toulouse,"Bpifrance, Celeste Management, Habert Dassault Finance, IRDI, M Capital Partners","Artificial Intelligence, CleanTech, ClimateTech, Energy, Mobility"
Citron,https://citron.io,Series B,812510600,20170729.86,2023-04-11,,"Suresnes, Ile-de-France, France, Europe","Bpifrance, Eiffel Investment Group, Entrepreneur Invest",Energy
TapNation,https://www.tap-nation.io/,Series B,847767084,14855650.41,2023-11-06,,Paris,"Paluel-Marmont Capital, Re-sources Capital",Gaming
Qarnot,https://www.qarnot.com,Series B,528593817,12500000,2023-01-10,,"Montrouge, Ile-de-France, France, Europe","ADEME Investissement, Banque des Territoires, Colam Impact, Demeter, Societe Generale",Other
hemea,https://www.hemea.com/,Series B,813776416,10089153.73,2023-01-25,,Paris,"Daphni, LBO France","FinTech, PropTech"
Verkor,https://www.verkor.com,Series C,,835160194,2023-09-14,,Grenoble,"Bpifrance, CMA CGM Ventures, Credit Agricole Assurances, EIT InnoEnergy, EQT Ventures, Fonds Stratégique de Participations, Macquarie Asset Management, Macquarie Group, Meridiam, Renault Group, Sibanye-Stillwater","CleanTech, ClimateTech, Energy, Mobility"
Amolyt Pharma,https://amolytpharma.com,Series C,,128076218.6,2023-01-06,,"Écully, Rhone-Alpes, France, Europe","Andera Partners, ATEM Capital Fund LP, Bpifrance, Credit Agricole Entreprises, CTI Life Sciences Fund, EQT Life Sciences, Intermediate Capital Group, Kurma Partners, Mass General Brigham Ventures, Novo Ventures, OrbiMed, Pontifax, Sectoral Asset Management, Sofinnova Partners, Tekla Capital Management, Turenne Capital",BioTech
Ledger,https://www.ledger.com,Series C,,100743233.6,2023-03-30,,Paris,"50T Funds, CapHorn Invest, Cathay Innovation, Cite Gestion, Digital Finance Group (DFG), Korelya Capital, Molten Ventures, Morgan Creek Capital Management, True Global Ventures (TGV), VaynerFund, White Loop Capital","FinTech, Cybersecurity"
Pigment,https://www.pigment.com/,Series C,,81300813.01,2023-06-08,,Paris,"Felix Capital, FirstMark, ICONIQ Growth, IVP, Meritech Capital Partners",Artificial Intelligence
Pigment,https://gopigment.com,Series C,,81300813.01,2023-06-08,,Paris,"Felix Capital, FirstMark, ICONIQ Growth, IVP, Meritech Capital Partners",Other
Welcome to the Jungle,https://www.welcometothejungle.com/en,Series C,,50445767.74,2023-01-25,,Paris,"Blisce, Bpifrance, Cipio Partners, Groupe ADP, Kostogri, Phiture, Revaia, XAnge","Artificial Intelligence, MedTech, Entertainment"
Indy,https://www.indy.fr/,Series C,,40446056.91,2023-11-20,,Lyon,"BlackFin Capital Partners, IXO Private Equity, La Maison Partners","Artificial Intelligence, Energy"
Mooncard,https://www.mooncard.co,Series C,,37516156.69,2023-04-18,,Paris,"Aglaé Ventures, BlackFin Capital Partners, Orange Ventures, Partech, Portage Ventures, Raise Ventures","Artificial Intelligence, FinTech, Mobility"
Pennylane,https://www.pennylane.com,Series C,,30008488.54,2023-05-02,,Paris,DST Global,FinTech
Corwave,https://www.corwave.com/,Series C,,26230538.62,2023-06-20,,Paris,"Bpifrance, Vlerick Group","HealthTech, MedTech, Hardware"
Karos,http://www.karos.fr/,Series C,,17213708.43,2023-11-27,,Paris,"Citizen Capital, Ring Capital","Artificial Intelligence, Mobility"
Cosmo Tech,https://cosmotech.com/,Series C,,,2023-01-23,,Lyon,"Accenture Ventures, Sam George",Other
Groupe Volta,http://www.groupe-volta.com/,Series C,,38689966.74,2023-10-03,,Paris,"Bpifrance, Eiffel Investment Group, Socadif, Tilt Capital Partners","CleanTech, Energy"
Ynsect,https://www.ynsect.com/,Series D,,161487123.1,2023-04-17,,"Fontaine, Bourgogne, France, Europe","Astanor Ventures, Bpifrance, Caisse d'Epargne Hauts de France, Caisse des Dépôts et Consignations, Crédit Agricole, European Commission, FootPrint Coalition, Robert Downey Jr., Upfront Ventures, Wind","BioTech, AgriTech, FoodTech, Hardware"
Aledia,http://www.aledia.com,Series D,,118224201.8,2023-09-23,,Grenoble,"Bpifrance, Braemar Energy Ventures, CEA Investissement, La French Tech, Supernova Invest",Other
TISSIUM,https://tissium.com/,Series D,,49748148.56,2023-05-23,,Paris,"Cathay Health, Crédit Mutuel Innovation, Fonds Stratégique d'Investissement, Mérieux Equity Partners, Sofinnova Partners",Other
Brut,https://www.brut.media,Series D,,36954915,2023-04-06,,Paris,"CMA CGM Ventures, MoonPay","MedTech, Entertainment"
Cubyn,https://www.cubyn.com/fr/,Series D,,14618611.42,2023-03-07,,Paris,"360 Capital, Bpifrance, DN Capital, Eurazeo, Partech Ventures",Other
Airex Energy,http://airex-energy.com/,Series D,,24944567.63,2023-03-15,,,,"Artificial Intelligence, Energy"
Skeat,https://skeat.fr,Seed,840727267,2955605.14,2023-09-22,,Paris,Sebastien Fremon,HealthTech
youzd,https://www.youzd.fr,Seed,881612022,2411946.6,2023-11-14,,Paris,"Arnaud Deymier, Bertrand Peyrat, Pierre Kosciusko-Morizet, Thierry LERNON","E-commerce & Retail, Hardware"
Neo media,https://www.neo.tv,Pre-Seed,,1978111.6,2023-01-01,,Paris,,"MedTech, Entertainment"
OKS,https://www.oks.media,Pre-Seed,,1528010.9,2023-12-22,,Paris,Maddyness,Entertainment
Socrate,https://socrate.fr/,Pre-Seed,,1497443.64,2023-02-03,,Paris,,Artificial Intelligence
Naaia,http://www.naaia.ai,Seed,913352688,1308237.25,2023-12-01,,Paris,,"Artificial Intelligence, SaaS"
InterCellar,https://www.intercellar.xyz/,Pre-Seed,952743847,1014273.84,2023-12-19,,"Levallois-perret, Ile-de-France, France, Europe","Alan Sousa Couta, Bilal Alamy, Christophe Diserens, Cyrus Fazel, Francois Denis, Hugues Trijasse, Laurent Flores, Laurent Lyothier, Mattéo Serpolet, Maxime CHERY, Owen Simonin, Romain Rafecas, Sami Chlagou, William Simonin, Youssef Gabsi",Web3
Mikuna,https://www.mikunaparis.com,Pre-Seed,,991865.3,2023-11-03,,Paris,"Frédéric Merlin, Sébastien Chapalain",FoodTech
Animoscope,https://animoscope.com/,Seed,,991228.75,2023-02-06,,"Perthes-en-gâtinais, Ile-de-France, France, Europe",,HealthTech
My Express Driver,https://myexpressdriver.com,Seed,889366985,988313.01,2023-11-10,,Lyon,,Mobility
Mister IA,https://mister-ia.org,Seed,977834928,987804.88,2023-09-18,,Paris,,Artificial Intelligence
Goodrecruiter,https://www.goodrecruiter.eu,Seed,953531043,979145.42,2023-10-20,,"Neuilly-sur-seine, Ile-de-France, France, Europe",,Other
Sorewards,https://www.sorewards.com/,Pre-Seed,877691402,976558.57,2023-10-27,,Nantes,"ABAB (Atlantic Business Angels Booster), Limousin Business Angels, Premier Étage","Mobility, MarTech"
Le Crayon,https://www.lecrayongroupe.fr,Seed,,975070.21,2023-10-16,,Paris,,"MedTech, Entertainment"
Waro,https://www.waro.io,Pre-Seed,899645956,975070.21,2023-10-16,,Paris,"Clément Alteresco, Jean Despax, Lucie Basch",Other
Losonnante,https://losonnante.fr/,Seed,899476782,902538.8,2023-11-15,,Grenoble,"Grenoble Angels, Les Business Angels des Grandes Écoles, SAMBA",Other
PeeK'in,https://peekin.me,Seed,832852776,832632.11,2023-02-06,,Nantes,,Other
LeBigDay,https://www.lebigday.fr,Seed,,808976.35,2023-06-15,,"Le Perreux-sur-marne, Ile-de-France, France, Europe",Bpifrance,Other
Inos,http://www.inosapp.com/,Seed,,503167.96,2023-12-01,,Paris,,Artificial Intelligence
Gencovery,https://gencovery.com/,Pre-Seed,882921570,415742.79,2023-11-30,,Lyon,,HealthTech
Naker,https://www.naker.io/,Pre-Seed,841773245,395465.63,2023-11-13,,Paris,,E-commerce & Retail
Zic Ethic,https://www.zicethic.fr,Pre-Seed,891808230,390995.01,2023-09-29,,"Laval, Pays de la Loire, France, Europe",,Entertainment
Dolly,https://www.dolly.gg/,Seed,911849735,197811.35,2023-01-01,,Paris,,Gaming
EvaluationsHub,https://www.evaluationshub.com/,Seed,,186179.79,2023-01-04,,"La Ferté-sous-jouarre, Ile-de-France, France, Europe",,Other
Shark Robotics,https://www.shark-robotics.com/,Series A,823372909,9998537.51,2023-01-15,,"La Rochelle, Poitou-Charentes, France, Europe",Move Capital,"Robotics, DefenseTech, SpaceTech & Aerospace"
Sunology,https://sunology.eu/,Series A,877740258,9987815.04,2023-05-22,,Nantes,RGreen Invest,"Artificial Intelligence, CleanTech, ClimateTech"
Mascaret,https://mascaret.eu,Seed,892755976,9968406.32,2023-12-07,,Paris,Entrepreneur Venture,"FinTech, Mobility, MarTech"
Ecoat,https://www.ecoat.fr/,Series B,531121960,9918397.08,2023-02-14,,"Grasse, Provence-Alpes-Cote d'Azur, France, Europe","123 Investment Managers, Banque Populaire Méditerranée, BNP Paribas, Bpifrance, Caisse d’Epargne, Crédit Coopératif, Smalt Capital",Other
Deeplink Medical,https://www.deeplink-medical.com/en/home/,Series A,803476761,9899786.59,2023-02-08,,Lyon,Imadis,"HealthTech, MedTech"
FHE Group,https://fhe-france.com/,Series A,522589613,9848845.16,2023-09-21,,"Perpignan, Languedoc-Roussillon, France, Europe","BNP Paribas Développement, Yotta Capital Partners","Artificial Intelligence, Energy"
Heliup,https://www.heliup-solar.com,Seed,919555938,9743623.43,2023-10-05,,"Le Bourget-du-lac, Rhone-Alpes, France, Europe","BNP Venture Capital, Bpifrance, EIT InnoEnergy, France 2030, Groupe IDEC, Starquest Capital",CleanTech
IEVA,https://www.ieva.io/,Seed,820930576,8771463.41,2023-03-08,,Paris,"Crédit Mutuel Innovation, SEB Alliance, Unilever","Mobility, E-commerce & Retail"
Yescapa,https://www.yescapa.com,Series B,751826280,6981236.14,2023-08-25,,Bordeaux,"IXO Private Equity, MAIF Avenir, No Such Ventures",Other
Purecontrol,https://www.purecontrol.com/,Series A,827813585,6940247.6,2023-05-30,,Rennes,"Meusinvest (Noshaq), Okwind, Unexo, Veolia France",Artificial Intelligence
Biosency,http://www.biosency.com/,Seed,830861860,6927148.93,2023-11-08,,Rennes,GO CAPITAL,"HealthTech, MedTech, Mobility, Hardware"
mediarithmics,https://www.mediarithmics.io,Series C,533760450,6819939.95,2023-01-03,,Paris,"Adelie, Bleu Capital, Gilles Chetelat, Jaina Capital, Seventure Partners, Spring Invest, Ventech","Artificial Intelligence, MedTech, Entertainment, E-commerce & Retail"
Tolv,http://tolv-systems.com/en/,Seed,853875276,6535126.57,2023-07-04,,Grenoble,"Amundi, Rhône Dauphiné Développement, Shift4Good","Artificial Intelligence, Energy, Mobility"
Mindee,https://mindee.com,Series A,837811256,6467110.13,2023-03-15,,Paris,,Artificial Intelligence
Epoca,https://epoca.health/,Seed,849711361,6401748.89,2023-09-21,,Paris,"Astorg, Impactivist, Mutuelles Impact, Orange Ventures, Ring Capital, XAnge",HealthTech
Mon Petit Placement,https://www.monpetitplacement.fr,Series A,831051453,6349238.73,2023-10-17,,"Écully, Rhone-Alpes, France, Europe","Bpifrance, HUB612, Insurtech Capital, La France Mutualiste",FinTech
Pony,https://www.getapony.com,Seed,848742490,6085457.32,2023-04-25,,"Angers, Pays de la Loire, France, Europe","AQUITI Gestion, Demeter, Epopée Gestion",Mobility
Formance,https://www.formance.com,Series A,235581006,6077136.92,2023-12-27,,Paris,,FinTech
Upciti,https://www.upciti.com/,Series A,827938911,5937556.36,2023-11-08,,Montreuil,"Chalfen Ventures, Demeter Partners, Innovacom, Point Nine","Artificial Intelligence, E-commerce & Retail"
Emissive,https://www.emissive.fr,Series A,485080733,5866592.76,2023-06-01,,Paris,Teampact ventures,Other
CarJager,https://www.carjager.com/,Seed,834496101,5578764.78,2023-10-06,,Paris,"by Willermin, Duvarry Development",Mobility
Donecle,http://www.donecle.com,Seed,813450350,5456429.23,2023-10-05,,"Labège, Midi-Pyrenees, France, Europe",AkzoNobel Aerospace,Drones
Fasst,https://www.fasst.io,Series A,832017446,5287511.09,2023-12-12,,"Angoulême, Poitou-Charentes, France, Europe","AG2R La Mondiale, COVEA, EDENVY, Malakoff Humanis, M Capital Partners, NACO, Odealim",InsurTech
Singulier,https://singulier.co,Seed,833130669,5071370.1,2023-12-19,,Paris,"Founders Future, MACSF",Other
Almé,https://www.almeparis.com,Seed,,5062855.69,2023-11-27,,Paris,Otium Capital,Other
Qualisteo,http://qualisteo.com,Series A,529150963,5017968.4,2023-09-20,,Nice,"Andera Partners, Enerfip Gestion, Liberset",Energy
TDI - Transfert Développement Informatique,https://www.tdi-france.com/fr,Series A,,4959198.08,2023-02-14,,"Bron, Rhone-Alpes, France, Europe","BNP Paribas Développement, Management",Other
Numalis,https://www.numalis.com,Series A,814614020,4941173.32,2023-11-07,,Montpellier,"115K, Definvest, MBDA, Safran Corporate Ventures",Other
Orosound,http://www.orosound.com,Series A,811315829,4927243.16,2023-02-16,,Paris,"AGORANOV, Bpifrance, GO CAPITAL, Paris Business Angels, WILCO",Other
FunCell,https://funcell.fr,Seed,889464616,4891990.95,2023-07-28,,"Gières, Rhone-Alpes, France, Europe","Iron Hands Capital, Lita.co, OBRATORI",Entertainment
AgDataHub,https://agdatahub.eu/en/,Series A,887921484,4731026.42,2023-03-01,,Paris,"API-AGRO, Avril, Banque des Territoires, Capgemini, In Groupe, InVivo",AgriTech
Susu,https://www.susu.fr/,Seed,,4570405.58,2023-12-14,,Lyon,"Al Mada Ventures, Five35 Ventures, Health54, INCO Ventures, Janngo, Launch Africa, Open CNP, Plug and Play","HealthTech, MedTech, Mobility"
Braintale,https://www.braintale.eu/,Series A,840995138,4539901.15,2023-06-20,,Paris,"Capital Grand Est, MACSF","Artificial Intelligence, HealthTech"
Chouette,https://www.chouette.vision/,Series A,852549260,4460530.3,2023-02-06,,Paris,"Banque des Territoires, Demeter, Kubota",Other
Ilasis,https://ilasis.com,Seed,848010476,4439014.23,2023-06-20,,"Pessac, Aquitaine, France, Europe","IRDI SORIDEC Gestion, NACO, Philippe du Mesnil",Hardware
Klara,https://www.klarahr.com/,Seed,840164891,4398017.37,2023-10-09,,Paris,"Ankaa Ventures, SIDE Capital",Artificial Intelligence
MYCOPHYTO,https://www.mycophyto.fr,Series A,832815948,4122085.18,2023-01-10,,"Valbonne, Provence-Alpes-Cote d'Azur, France, Europe","Bpifrance, Caisse d’Epargne, CDG Invest, CIC Ouest, Créazur, Ey Ventures, Naos, Obsidiane, Olbia Invest, Région Sud Investissement, Riviera Realisation",AgriTech
Oreegami,http://www.oreegami.com,Seed,834845133,4114793.05,2023-07-20,,Paris,IXO Private Equity,"Artificial Intelligence, MarTech"
Upmem,http://www.upmem.com/,Series A,809013683,4073183.67,2023-09-12,,Grenoble,"C4 Ventures, European Innovation Council, Partech, Western Digital Capital",Other
Hinfact,https://hinfact.com/,Seed,843408022,4064078.9,2023-04-12,,Toulouse,Innovacom,Artificial Intelligence
VSORA,http://www.vsora.com/,Series B,811657519,3880266.08,2023-01-11,,"La Forêt, Auvergne, France, Europe","Omnes Capital, Otium Capital, Partech","BioTech, Hardware"
Hiway,https://hiway.fr/,Seed,,3695491.5,2023-05-19,,Paris,Reflexion Capital,"FinTech, LegalTech"
Hosman,https://www.hosman.co/,Series A,833267289,3575489.65,2023-04-24,,Paris,"Akiles, LBO France, NCI Waterstart, UL Invest",PropTech
Simango,https://simango.fr,Series A,839239266,3537419.62,2023-05-12,,Rennes,"Breizh Up, Epic Management, UI Investments, Vivalto Santé","Artificial Intelligence, Gaming"
PeopleSpheres,https://peoplespheres.com/,Seed,527829253,3479522.36,2023-06-01,,Montpellier,"IRDI SORIDEC Gestion, Omnes Capital, Sofilaro, Swen Capital Partners, UL Invest",Other
Flatsy,https://www.flatsy.fr/,Series A,810457531,3463574.46,2023-11-08,,Paris,"Banque des Territoires, innovation Capital, NCI",PropTech
Le Comptoir Des Pharmacies,https://lecomptoirdespharmacies.fr,Seed,814231858,3385372.32,2023-10-03,,Toulouse,SideAngels,Other
Lagoped,https://en.lagoped.com/,Seed,839375391,3157861.23,2023-09-19,,"Passy, Rhone-Alpes, France, Europe","HPS Investment Partners, VOX CAPITAL",Artificial Intelligence
Le Fourgon,https://www.lefourgon.com,Series A,893397810,3084030.86,2023-04-28,,Marquette Lez Lille,Lita.co,Other
Monogram paris,https://www.monogramparis.com/fr/,Seed,814546842,3064705.28,2023-04-24,,Paris,HWA,Other
REGEnLIFE,https://regenlife.com,Series A,817851330,3032074.09,2023-05-12,,Paris,,"Artificial Intelligence, BioTech, MedTech"
Keewe,https://keewe.eu,Pre-Seed,882584469,3024628.6,2023-07-03,,Montreuil,"Blast. Club, Dovesco, Guillaume Amblard, Jerome Camblain, Loic Mennel, Yann Samuelides",FinTech
Sensefuel,https://www.sensefuel.com/fr/,Series A,831176854,3024628.6,2023-07-03,,"Villeneuve, Provence-Alpes-Cote d'Azur, France, Europe",Pleiade Venture,"Artificial Intelligence, E-commerce & Retail"
Evoliz,http://www.evoliz.com/,Series A,,3002632.11,2023-01-19,,Paris,ODYSSEE VENTURE,Other
VUF,https://vufbikes.com,Series A,808368997,2994887.29,2023-02-03,,Toulouse,"Crédit Agricole Ille and Vilaine Expansion, Femmes Business Angels, IXO Private Equity, WeLike","Mobility, MarTech"
i-Virtual,https://i-virtual.ai/,Series A,807466693,2992930.52,2023-12-12,,"Metz, Lorraine, France, Europe","Elaia, Malakoff Humanis, Tudigo, UI Investissement","Artificial Intelligence, Energy, Entertainment"
kapptivate,http://www.kapptivate.com/,Series A,803963214,2990521.99,2023-12-07,,Paris,"Elevation Capital Partners, GSO Innovation, Holnest",Other
ISYBOT,https://www.isybot.com/,Seed,823521505,2988373.98,2023-06-08,,"Palaiseau, Ile-de-France, France, Europe","Calao Finance, CEA Investissement, Karot Capital, Saint-Gobain",Robotics
Tudigo,https://www.tudigo.co/,Seed,788438406,2973686.25,2023-02-06,,Paris,,Other
Generation Robots,http://www.generationrobots.com/en/,Seed,504878315,3000000,2023-06-05,,"Mérignac, Aquitaine, France, Europe","AQUITI Gestion, GT Logistics","BioTech, Robotics"
SteerFox,http://www.steerfox.com,Series A,798961140,2932463.97,2023-09-29,,Paris,"Christopher Caussin, Olivier Marcheteau, Pleiade Venture","Artificial Intelligence, MarTech, E-commerce & Retail"
Leader Print,https://leaderprintgroup.fr,Pre-Seed,,2813937.55,2023-11-14,,Lyon,"IRDI Impulsion Fund, ODYSSEE VENTURE",Artificial Intelligence
Urban Canopee,https://www.urbancanopee.com/,Series A,823373154,2636428.31,2023-09-26,,"Champs-sur-marne, Ile-de-France, France, Europe",ARaymond,CleanTech
SKYREAL,https://skyreal.tech/,Seed,833742919,2536707.32,2023-05-10,,Paris,Sopra Steria,Other
Rzilient,https://www.rzilient.club/,Seed,881969976,2505994.09,2023-01-30,,Paris,"Otium Capital, Tomcat Invest",Other
DIAMIDEX,https://diamidex.com,Series A,808139521,2473981.89,2023-11-08,,Marseille,PureTerra Ventures,"BioTech, Hardware"
Farmitoo,https://www.farmitoo.com/fr/,Series A,833694276,2442014.97,2023-10-17,,Paris,"Bpifrance, IXO Private Equity, Ventech","AgriTech, Hardware"
Episto,https://en.episto.fr,Series A,843146218,2426391.35,2023-09-27,,Paris,"GO CAPITAL, Laurent Zeller, Takara Capital",Other
Pollen Robotics,http://pollen-robotics.com/,Seed,820266211,2420495.2,2023-06-30,,Bordeaux,"BNP Paribas Private Equity, Bpifrance, Societe Generale",Robotics
