Organization Name,Organization Location,Funding Type,Money Raised,Money Raised Currency,Announced Date,Organization Website,Description,Investor Names,Sectors,SIREN
Clone (ex Not So Dark),"Paris, Ile-de-France, France, Europe",Series B,80000000,USD,2022-09-26,https://www.getclone.io,"Clone creates food delivery brands, helping restaurants generate additional profit through a unique asset-light business model & technology.","Convivialite Ventures, Kharis Capital, Verlinvest","Brand Marketing, Delivery, Food Delivery, Restaurants, Software",
SparingVision,"Paris, Ile-de-France, France, Europe",Series B,75000000,EUR,2022-09-14,https://sparingvision.com,SparingVision is a biotechnology company developing genomic medicines for the treatment of blinding inherited retinal diseases.,"4BIO Capital, Bpifrance, Jeito Capital, Retinal Degeneration Fund, UPMC Enterprises, Ysios Capital","Biotechnology, Health Care, Life Science",
Sweep,"Montpellier, Languedoc-Roussillon, France, Europe",Series B,73000000,USD,2022-04-04,https://www.sweep.net,Sweep is a software company developing software for businesses to reduce their carbon emissions.,"2050, Balderton Capital, Coatue, Future Shape, La Famiglia, New Wave (VC)","Environmental Engineering, Genetics, GreenTech, Software, Sustainability",
Logivolt,"Paris, Ile-de-France, France, Europe",Growth Equity,70000000,EUR,2022-12-12,https://www.logivolt-territoires.fr/,Logivolt is a financing solution for collective infrastructure for charging electric vehicles,Banque des Territoires,"Battery, Electric Vehicle, Energy",
Diabeloop,"Grenoble, Rhone-Alpes, France, Europe",Series C,70000000,EUR,2022-06-02,http://www.diabeloop.fr,Diabeloop is a medical device company for diabetes and closed-loop system.,"AGIR a Dom, Cemag Invest, CERITD, Crédit Agricole, Innovacom, KREAXI, LBO France, ODYSSEE VENTURE, Promontoires, Sud Rhone-Alpes Capital, Supernova Invest, Terumo Corporation, UI Investissement","Clinical Trials, Health Care, Medical, Medical Device",
Pigment,"Paris, Ile-de-France, France, Europe",Series B,65000000,USD,2022-09-28,https://gopigment.com,Pigment is a business forecasting platform that handles business strategy in real-time.,"IVP, Meritech Capital Partners","Analytics, Business Development, Information Technology, Real Time, SaaS",
Castellet Hospitality,"Marseille, Provence-Alpes-Cote d'Azur, France, Europe",Private Equity,61500000,EUR,2022-10-21,https://www.castellet-hospitality.com/,Castellet Hospitality is a group of hotels that operates a chain of budget and mid-scale hotels intended for business and leisure stays.,"Sofival, Three Hills Capital Partners","Hospitality, Hotel, Leisure",
Younited,"Paris, Ile-de-France, France, Europe",Growth Equity,60000000,EUR,2022-12-08,https://www.younited-group.com,Younited provides an online platform that connects and facilitates financial transactions between lenders and borrowers.,"Bpifrance, Crédit Mutuel Arkéa, Eurazeo, Goldman Sachs","Credit, Financial Services, FinTech",
Le Collectionist,"Paris, Ile-de-France, France, Europe",Seed,60000000,EUR,2022-12-02,http://www.lecollectionist.com,Le Collectionist is a luxury travel brand that offers a selection of luxury rentals around the world with services and experiences.,"Fabrice Grinda, Famillie C (Clarins Family), FJ Labs, Highland Europe, Lombard Odier, Nathalie Le Roy, Nicolas Béraud, OLMA Luxury Holdings, Pictet Private Equity Investors S.A., Red River West, The Cheng family, Xavier Romatet","Hospitality, Rental Property, Travel",
Agryco,"Villejuif, Ile-de-France, France, Europe",Series B,60000000,EUR,2022-11-08,https://www.agryco.com,Agryco is a French agricultural technology company specializing in online procurement of farming supplies.,"Aliment Capital, Eurazeo, Temasek Holdings, Treïs","Agriculture, AgTech, E-Commerce, Farming",
